group-id	NR	NR	NR	NR	NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR
subject_id	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121691	S210421121692	S210421121693	S210421121707	S210421121708	S210421121709	S210421121710
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales	0.8041321671861374	0.7900685895441684	0.8577355731538658	0.5993070959523862	0.8851077368823661	0.2569074625349896	0.016647870683636753	0.012880591829298262	0.08910279694878315	0.506984667802385	0.11559739448558937	0.08797756747283561
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales	0.13774466211374253	0.0	0.0	0.0002690356444776316	4.061710928033252e-05	0.08716129155109269	0.0053523799294703115	0.0061521774132043015	0.001071558300036324	0.0009085746734809767	0.05527795128044972	0.14265685243603224
Bacteria|Firmicutes|Clostridia|Clostridiales	0.0	0.0	0.0	0.00029099773790437707	0.0	0.025611404850616006	0.19084188103037789	0.29384697517943853	0.010352342898656011	0.014991482112436116	0.0016061390202551976	0.0
Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales	0.001381418198457992	0.0017480704561278757	0.0037614185921547557	0.0536533942415391	0.004569424794037409	0.013881571848400795	0.2026027961262374	0.23669782301049938	0.026207773338176536	0.007041453719477569	0.005086106897474792	0.005257623554153523
Bacteria|Firmicutes|Bacilli|Erysipelotrichales	0.000690709099228996	0.0012888316074841119	0.0012332519974277887	0.005139129861858432	0.0015705282255061908	0.01490348911753318	0.0933354814456796	0.11016295643478777	0.01808935706501998	0.049574105621805795	0.030516641384848754	0.07150368033648791
Bacteria|Firmicutes|Bacilli|Lactobacillales	0.009246868065928183	0.12435002888760499	0.01866614987535346	0.08926492873300683	0.03994692697720703	0.0012948516950497312	0.02584895190018438	0.05970832238765497	0.006701779876498366	0.013685406019307211	0.005309181761399126	0.0
Bacteria|Firmicutes|Clostridia|Lachnospirales	0.016106472807646148	0.017154793120305763	0.07918799164912219	0.1391518239518591	0.018372472431137075	0.35625559356890324	0.10006623346401017	0.10629030481242638	0.2920995277878678	0.03770584894946053	0.2879004193807442	0.2499123729407641
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014	0.0	0.0004888671614594907	0.0	0.00039531768168141787	0.0015705282255061908	0.09247399188813497	0.22150618477346365	0.053861211623039314	0.3362513621503814	0.12850653038046564	0.09703756580708486	0.07465825446898001
Bacteria|Firmicutes|Clostridia|Oscillospirales	0.008098564188459978	0.05771595336503563	0.03056703165053162	0.08020007467111766	0.0377400640396423	0.12407091217224067	0.1023038504913807	0.07973255823807063	0.13405375953505266	0.0902328222600795	0.2303024895154814	0.25902558710129686
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0.008405066351242845	0.0017332562997200123	0.0006298394129720492	0.0031131267432411656	0.0014419073794518045	0.002018445289342228	0.0076616007017167	0.0070080588439668835	0.005775517617144933	0.021408290743895515	0.012269117515838316	0.030143708377146864
Bacteria|Firmicutes|Bacilli	0.005901245866537734	0.0013184599202998386	0.0014358576827194968	0.006187819822985527	0.0022880971561253984	0.0	0.0010919571093568193	0.0012626369622141058	0.0005630221576462042	0.0007382169222032936	0.0008476844829124655	0.0
