group-id	NR	NR	NR	NR	NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR
subject_id	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121691	S210421121692	S210421121693	S210421121707	S210421121708	S210421121709	S210421121710
Bacteria|Bacteroidota	0.8041321671861374	0.7900685895441684	0.8577355731538658	0.5993070959523862	0.8851077368823661	0.2569074625349896	0.016647870683636753	0.012880591829298262	0.0893570650199782	0.5078364565587734	0.11559739448558937	0.08797756747283561
Bacteria|Verrucomicrobiota	0.13774466211374253	0.0	0.0	0.0002690356444776316	4.061710928033252e-05	0.08716129155109269	0.0053523799294703115	0.0061521774132043015	0.001071558300036324	0.0009085746734809767	0.05527795128044972	0.14265685243603224
Bacteria|Firmicutes	0.04381254155046925	0.2054871635334726	0.1374899798275209	0.38579162365756703	0.10902986034483926	0.6371305070867741	0.9449904229991228	0.9499012770428873	0.8563203777697058	0.39392390687109596	0.6954581957705006	0.6677181913774973
Bacteria|Proteobacteria	0.014254509035338404	0.0026369198405996773	0.004668739704548057	0.004200250367865065	0.003025974641384773	0.0037195249671526593	0.012047330075362942	0.009812977196268018	0.012695241554667636	0.03157296990346394	0.029356652092442224	0.0637924991237294
Bacteria|Actinobacteriota	5.6120114312355925e-05	0.0009925484793268447	0.00010570731406523904	0.009191136099092966	0.0023557923382592862	0.012224923356204814	0.01936881298891932	0.01742269526384028	0.022466400290592083	0.021521862578080635	0.10346212188810565	0.03785488958990536
Bacteria|Desulfobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012041409371594624	0.014366837024417944	0.0	0.0
Bacteria|Patescibacteria	0.0	0.0	0.0	0.0009498605407067402	0.0	0.0028055120059410845	0.0011814617904516405	0.0038302812545018515	0.0024155466763530692	0.0282793867120954	0.0008476844829124655	0.0
Bacteria|Cyanobacteria	0.0	0.0008147786024324845	0.0	0.00016471570070059077	0.0004400186838702689	5.0778497845087496e-05	0.0	0.0	0.001325826371231384	0.00045428733674048835	0.0	0.0
Bacteria|Campilobacterota	0.0	0.0	0.0	3.843366349680452e-05	0.0	0.0	0.0	0.0	0.0023065746458409008	0.0	0.0	0.0
Bacteria|Deferribacterota	0.0	0.0	0.0	8.784837370698175e-05	0.0	0.0	0.0004117215330361778	0.0	0.0	0.0	0.0	0.0
Bacteria|Acidobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006814310051107325	0.0	0.0
Bacteria|Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045428733674048835	0.0	0.0
