group-id	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR
subject_id	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121694	S210421121695	S210421121696	S210421121697	S210421121703	S210421121704	S210421121705	S210421121706
Bacteria	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9986006451892534	1.0	1.0	1.0	1.0	0.9999164204552577	0.9995383515331588
Eukaryota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013993548107465495	0.0	0.0	0.0	0.0	0.0	0.0
Archaea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.357954474221979e-05	0.00046164846684114435
