group-id	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR
subject_id	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121694	S210421121695	S210421121696	S210421121697	S210421121703	S210421121704	S210421121705	S210421121706
Bacteria|Bacteroidota|Bacteroidia	0.49509052676598475	0.36761154308769073	0.7172460289864905	0.5564913189945582	0.7063027115262538	0.1843797724290723	0.052142371344366355	0.5066345516801546	0.6019116702557709	0.36738714724459637	0.00946730623579904	0.1927283476204552	0.7689986752642158	0.5193059306208304
Bacteria|Firmicutes|Bacilli	0.012527621355763062	0.0769318192580526	0.08953755607757999	0.0651159908514258	0.05691484537952299	0.29461616226796583	0.1755963626287816	0.08616558206349108	0.028788393970304884	0.1901547198238396	0.2823150719515274	0.39905409399940883	0.022650056625141562	0.09367298627550348
Bacteria|Verrucomicrobiota|Verrucomicrobiae	0.0005880675743103571	0.011762811709774878	0.03761968164047593	0.007914868686413466	0.0004715697832592727	0.01669140263706954	0.0	0.006699565952335251	0.08258717745286939	0.024627687315292347	0.0	0.0	0.0	0.0
Bacteria|Firmicutes|Clostridia	0.48706251336517215	0.5349238069080474	0.14494517329986345	0.35647329224737206	0.22624467216831415	0.49228883009614766	0.6781531020932517	0.386921605171421	0.27456017731434257	0.3821927333835545	0.6067912143398132	0.3940289683712681	0.18566777966760414	0.3483606272865483
Bacteria|Proteobacteria|Gammaproteobacteria	0.0025393827072492693	0.005246858041236137	0.004846629408821459	0.0052277566839798555	0.0020132402285299718	0.004215869738228905	0.041285674702133554	0.00716395361076884	0.009545757930661024	0.016920669873094978	0.05655137591517294	0.011232633757020397	0.008157363566840652	0.005609202424175107
Bacteria|Patescibacteria|Saccharimonadia	0.0005078765414498539	0.0012880373530832394	0.001178795254289034	0.0003323681512444089	0.0	0.002129444408595212	0.006347766946270687	0.0014860405069874864	0.0012341481229614518	0.009851074926116938	0.015778843726331735	0.0029559562518474726	0.0	0.022804740053731717
Bacteria|Firmicutes|Negativicutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007618275503253334	0.0011975091809037202
Bacteria|Actinobacteriota|Actinobacteria	0.0	2.8412588670953812e-05	0.0033455735814174378	0.0029180797007559967	0.0013602974517094404	0.0	0.0033250207813798837	0.0	0.0	0.004606826215448803	0.0026508457460237313	0.0	0.00012119033987621869	0.0021103929912738026
Bacteria|Desulfobacterota|Desulfovibrionia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018203996210596708	0.0	0.0	0.0	0.0	0.003723468718265892	0.003405091323091448
Bacteria|Actinobacteriota|Coriobacteriia	0.000579157459548079	0.0021404150132118536	0.000203532993546308	0.0007886701893935126	0.00021764759227351047	0.005484932567593728	0.03934607924632862	0.0007801712661684303	0.0010578412482526729	0.004259141218056441	0.02347891946478162	0.0	0.0004764034050306528	0.00203403008698429
Bacteria|Cyanobacteria|Vampirivibrionia	0.00029403378715517857	0.0	0.0007462876430031294	0.004405286343612335	0.006475015870136936	0.0	0.0021914909695458324	0.0005015386711082766	0.00018890022290226304	0.0	0.001072961373390558	0.0	0.0	0.00011107331533020014
Bacteria|Proteobacteria|Alphaproteobacteria	0.00013365172143417207	0.0	0.0003307411145127505	0.00026476784929639353	0.0	0.0	0.0006045492329781607	0.0002476734178312477	0.0	0.0	0.0018934612471598082	0.0	0.0017718863485350596	0.00027768328832550033
Bacteria|Campilobacterota|Campylobacteria	0.0	6.629604023222555e-05	0.0	0.0	0.0	0.00019358585532683746	0.0003274641678631704	0.0	0.0	0.0	0.0	0.0	0.0006393835172779814	0.00045817742573707557
Eukaryota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013993548107465495	0.0	0.0	0.0	0.0	0.0	0.0
Archaea|Euryarchaeota|Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.357954474221979e-05	0.00046164846684114435
Bacteria|Deferribacterota|Deferribacteres	0.0006771687219331385	0.0	0.0	6.760030194801537e-05	0.0	0.0	0.0	0.0	0.00012593348193484202	0.0	0.0	0.0	0.0	0.0
Bacteria|Elusimicrobiota|Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.193749921644177e-05	0.0001909072607237815
Bacteria|Chloroflexi|Chloroflexia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001795632279276546	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Acidobacteriota|Blastocatellia	0.0	0.0	0.0	0.0	0.0	0.0	0.00037784327061135043	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Cyanobacteria|Cyanobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.0003022746164890803	0.0	0.0	0.0	0.0	0.0	0.0	0.0
