group-id	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR
subject_id	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121694	S210421121695	S210421121696	S210421121697	S210421121703	S210421121704	S210421121705	S210421121706
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_NK3B31_group|uncultured_bacterium	0.06829602965286193	0.026092227262825916	0.2178608682378283	0.003008213436686684	0.09347964088147274	0.01142156546428341	0.004055517771228494	0.08640706364587655	0.11784855239462516	0.02022367734832242	0.0	0.04640851315400532	0.00017133806672155056	0.004807391929135225
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculaceae|uncultured_bacterium	0.32639532397177273	0.27849072328979896	0.3276329960904704	0.41795013351059634	0.47740999365194525	0.15592265169602718	0.0449633492027507	0.3388605784412673	0.4162353444910398	0.2840296691197775	0.008836152486745772	0.13656517883535324	0.278361673763963	0.4141403272497553
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	0.0042679449711312285	0.05000615606087871	0.07332276092505746	0.03253827867097806	0.028185363199419607	0.2658794175216709	0.0641577873498073	0.045770047615214575	0.0038535645472061657	0.02961117227791621	0.11272405958091392	0.3632870233520544	0.008708988562139301	0.006178453165242383
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_UCG-003|uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10586185137049559	0.019285104374206
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_UCG-001|uncultured_bacterium	0.016813386556418848	0.004195592260410846	0.05448323820992732	0.002782879096859966	0.01626915752244491	0.0005592480264997526	0.000932013400841331	0.019337102097174666	0.02802019973050235	0.012835371153734716	0.0006311537490532694	0.0	0.040318772383646825	0.000933710056994495
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia	0.0005880675743103571	0.011762811709774878	0.03761968164047593	0.007914868686413466	0.0004715697832592727	0.01669140263706954	0.0	0.006699565952335251	0.08258717745286939	0.024627687315292347	0.0	0.0	0.0	0.0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculaceae	0.06197875828640673	0.05126578082529099	0.045366656207332275	0.10884211949480041	0.09300807109821348	0.007205695726054505	0.001813647698934482	0.043677207234540535	0.02823428664979158	0.04847308338645188	0.0	0.005911912503694945	0.11772596774665368	0.06863983783295961
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022668026748271563	0.0	0.0	0.0	0.13038408979786287	0.000805281536143951
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Dubosiella|uncultured_bacterium	0.0	0.0	0.0001780913693530195	0.0	0.0	0.0	0.023426282777903727	0.0	0.0	0.00031871124760966563	0.024867457712698812	0.0	7.522159026799781e-05	0.05603648758408597
