group-id	NC	NC	NC	NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC
subject_id	S210421121673	S210421121674	S210421121675	S210421121676	S210421121682	S210421121683	S210421121684	S210421121694	S210421121695	S210421121696	S210421121697
Bacteria	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9986002985204041	1.0	1.0
Eukaryota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013997014795959445	0.0	0.0
