group-id	NC	NC	NC	NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC
subject_id	S210421121673	S210421121674	S210421121675	S210421121676	S210421121682	S210421121683	S210421121684	S210421121694	S210421121695	S210421121696	S210421121697
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_NK3B31_group	0.030270595450621312	0.0005680157039635802	0.13935621984168775	0.19032925380125074	0.06822332492939803	0.02609519299076486	0.2177325371970522	0.004051435617403558	0.08641608294160272	0.11788863693625598	0.020180992858588487
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculaceae	0.4093815798211656	0.3124030683985577	0.464699129023626	0.5514025379257704	0.3889121506650393	0.33092114610466494	0.384344819110661	0.04710737562595939	0.38307228281401934	0.4468757873519778	0.3331887703472403
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	0.10457789531663222	0.32153865430397194	0.06495204882301657	0.06666608841973788	0.009532378907607195	0.0011082169074117926	0.03327499332550758	0.0	0.004700767358466027	0.004106827916351726	0.00020238818053025704
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia	0.03039950623264099	0.0038257528296370548	0.15257192676547515	0.0031420492492909248	0.0005879785120580139	0.01176414870944826	0.03759752175036975	0.0	0.006701225667800053	0.08261526832955404	0.024575707635816926
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_UCG-001	0.06653358907149079	0.004597029055117014	0.07791310953240049	0.01362422045085913	0.01681084018565867	0.004196069145157471	0.05443843151546999	0.0009310752661113767	0.019341892569814757	0.027954144620811288	0.01280828056784341
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides	0.0066916415030215904	0.08184716479416392	0.022931107408910027	0.00821616604938807	0.00032071555203164393	0.0004830689083589865	0.008636581303793231	0.0	0.002464961012739761	0.002292768959435626	0.0008384653193396363
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	0.009812844982831428	0.050188642470311434	0.007272523241862111	0.023590306268485833	0.008579141016846476	0.06184229220932986	0.08269590164976502	0.07785802360401621	0.055282015074661066	0.005215419501133787	0.04322433284181918
Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Peptostreptococcaceae|Romboutsia	0.002519619830384662	0.09861476562391235	0.0012775471095496647	0.013058261269309833	0.0002850804906947946	0.020421501302391665	0.0013645628949074682	0.009814036588741538	0.0018332373361079628	0.0008566389518770471	0.02229161245554688
Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Lachnospiraceae_NK4A136_group	0.09558539167392603	0.0	0.0004272877156939757	0.003751376950499172	0.050379067964970735	0.015297182098034573	0.009933339831251881	0.0008304184805858225	0.03222410087760044	0.018102796674225246	0.014138260039899384
Bacteria|Proteobacteria|Gammaproteobacteria|Burkholderiales|Sutterellaceae|Parasutterella	0.0006250219734287533	0.041392752230993056	0.004980707312230787	0.0064814252630300715	0.001665939117497706	0.001629173573289131	0.004068262046929098	0.0005787765167719369	0.004180524330651605	0.0017258755353993448	0.0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes	0.026383740053361252	0.026649403444291304	0.0	0.02581727975297291	0.00851677965950699	0.003665640539900545	0.011751344433473322	0.0	0.009766943510277896	0.0026581002771478963	0.0
Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|[Eubacterium]_siraeum_group	0.0	0.0	0.0	0.0007264227042874118	0.04663738652460155	0.0006156760596732181	0.0005297216206938929	0.0	0.06640530647888371	0.0033005794910556815	0.0049151415271633855
Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae	0.0740299463653019	0.0004984059363209846	0.002675943270002676	0.012368701806732529	0.16381437696549636	0.06727918541321336	0.016345090328130762	0.04630212134175495	0.034689061890340205	0.026077097505668934	0.034116864717957614
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum	0.008875312022688297	0.0003564020103300895	0.01448462195827255	0.013483272761967542	0.0022450088642215075	0.0012029363012076722	0.006538883685845415	0.0	0.0009599722537051832	0.0	0.0
Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae	0.003429808079190284	0.0	0.0002805424395970547	0.0004380220485553946	0.03687337971830484	0.06085721051385271	0.004822585634797202	0.00035229874933943986	0.010918910214724116	0.009586797682035778	0.0012432416804001502
Bacteria|Firmicutes|Bacilli	0.0018320956596130332	0.004772445669576355	0.004117499805778311	0.0028319643337294323	0.0	0.0008998342410608572	0.002428243909260805	0.0043534059739802206	0.023664864396177453	0.008654572940287226	0.023448116344291208
Bacteria|Firmicutes|Clostridia|Oscillospirales|[Eubacterium]_coprostanoligenes_group|[Eubacterium]_coprostanoligenes_group	0.021258559871245475	0.0004984059363209846	0.0	0.007934270671604895	0.004133667115074522	0.08683874023206252	0.021527886664999808	0.002919046780241073	0.013278583948025243	0.022511967750062988	0.05791193222887212
Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Ruminococcus	0.0016524018422522666	0.0	0.001519245211356358	0.005609718017885177	0.0024053666402373297	0.028813639592706608	0.03124086230204303	0.02040816326530612	0.024147947207719414	0.006890904509952129	0.004712753346633128
