group-id	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	STD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC
subject_id	S210421121682	S210421121683	S210421121684	S210421121688	S210421121689	S210421121690	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702
Bacteria|Firmicutes|Clostridia|Clostridiales	3.563791874554526e-05	0.007437374464698525	0.001491626550952607	0.06051967761120568	0.4329070823244552	0.23522027175289054	0.011845653653249993	0.0003716044642082967	0.00010076328186009018	0.0	0.4022845275181724	0.018842530282637954	0.016982047549733138	0.659390074401112	0.012651691195455719
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales	0.4949305060584462	0.367747375601622	0.7167774086378738	0.3910912409507598	0.034556598062954	0.0455840155287366	0.05217128311112231	0.5067570078408542	0.6019472504219462	0.3670893405129987	0.001973001038421599	0.20838941229250785	0.0329128254892447	0.020869103098683672	0.5682933126775109
Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales	0.0031450463292943694	0.022804790237617008	0.0024662688995864125	0.016898751051044894	0.15101392251815982	0.21238079162798548	0.009829372180356379	0.002917095044035129	0.004181676197193743	0.024173469978576806	0.16812045690550365	0.01704800358905339	0.019165453663270257	0.05637315019213474	0.008262328943971081
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales	0.0005880256593014968	0.01176715807026187	0.03759576920469184	0.09151781136564058	0.0034881961259079905	0.010992488817621741	0.0	0.00670126717122295	0.08260070030480893	0.024607723930287765	0.0	0.0008972633467922835	0.021187125990619442	0.024425639767803122	0.010069713400464756
Bacteria|Firmicutes|Bacilli|Erysipelotrichales	0.002548111190306486	0.012619850684048963	0.002822225235609194	0.045261582002009804	0.0891116828087167	0.07358215883196895	0.06661289916072284	0.005010466859075201	0.006423659218580749	0.10346824156099821	0.13239875389408098	0.07320173470913713	0.038977842471292254	0.08946529310767722	0.005422153369481022
Bacteria|Firmicutes|Clostridia|Oscillospirales	0.2232982893799002	0.2382707393792398	0.07331005491897756	0.07723385492504256	0.11964285714285715	0.1464680563760655	0.05816972049298082	0.22265300813813776	0.07414918003879387	0.08771929824561403	0.029075804776739357	0.048975624345745476	0.27510917030567683	0.04163600686779495	0.1665375677769171
Bacteria|Firmicutes|Bacilli|Lactobacillales	0.008579828937990022	0.061858111949065826	0.08291663841616381	0.0006665162732511638	0.018908898305084746	0.04880158663178327	0.08299518612798347	0.05530713108966816	0.005718316245560118	0.04328064385385907	0.03271028037383177	0.016449828024525198	0.0017790716480672812	0.004823808355817186	0.0
Bacteria|Firmicutes|Clostridia|Lachnospirales	0.23806129722024233	0.1779474741349907	0.03648976201776392	0.023522897397510307	0.052020278450363194	0.07050173010380623	0.09552133477833506	0.09309930509965193	0.07505604957553468	0.08884835852006254	0.05212876427829699	0.10086735456856587	0.1363415817564289	0.010444771482299076	0.08675445391169635
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014	0.011519957234497506	0.07082085875620571	0.02353973150722083	0.237495129304157	0.05700665859564165	0.10002953835766731	0.27524762456838975	0.03585363738836383	0.116205254805149	0.17697296045394012	0.06998961578400831	0.28189023478390907	0.26791201682031374	0.036546480255089525	0.06222566485928221
Bacteria|Firmicutes|Clostridia|Christensenellales	0.0012116892373485388	0.0017432826770758328	0.000682249644043664	0.004511802465084801	0.0005750605326876513	0.0020360367963541226	0.1672757516949366	0.0016350596425165054	0.003136257147895307	0.0025476231833709687	0.04153686396677051	0.030133094063107522	0.0037198770823224972	0.003863134657836645	0.0
Bacteria|Firmicutes|Bacilli	0.0	0.0009000644256641528	0.0024323682961556715	0.00014355735116178912	0.0014225181598062954	0.0006540636340619462	0.004360208685132445	0.023671204370068498	0.008653046829735245	0.02347866365583927	0.0009345794392523365	0.0	0.0	0.0014307906140135721	0.0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0.0004098360655737705	0.002368590593853034	0.0004322326937419486	0.003547917392998503	0.00552360774818402	0.007774917714575069	0.009879779217178718	0.002025244329935217	0.004383202760913923	0.01001679115279949	0.01557632398753894	0.00904740541348886	0.027818211224324763	0.00666339628812035	0.018590240123934933
Bacteria|Actinobacteriota|Actinobacteria|Bifidobacteriales	0.0	0.0	0.003271408231066513	0.01918541457312196	0.010457021791767555	0.005992066841083636	0.001512211104670212	0.0	0.0	0.004603091888136182	0.0076843198338525445	0.010468072379243309	0.004609412906356138	0.0001635189273158368	0.0
Bacteria|Firmicutes|Clostridia|Monoglobales	0.005167498218104063	0.009588054723917081	5.508848057495423e-05	0.007823875638317507	0.004010290556900727	0.009294033251751203	0.06028681603951912	0.016666460219742107	0.00034007607627780436	0.0010422094841063053	0.002284527518172378	0.0	0.07908782144590004	0.0019622271277900416	0.026336173508907823
Bacteria|Patescibacteria|Saccharimonadia|Saccharimonadales	0.0005078403421240199	0.0012885132830560504	0.001178045969218252	0.003804269805787412	0.005614406779661017	0.01534939657355051	0.00635128663961489	0.0014864178568331867	0.0012343502027861047	0.009843089572115106	0.003738317757009346	0.01525347689546882	0.032508491023774864	0.0005518763796909492	0.012651691195455719
Bacteria|Proteobacteria|Gammaproteobacteria|Burkholderiales	0.0017729864575908767	0.002055936635464433	0.004309614211132958	0.0027070814790508806	0.005167978208232445	0.002721748670773905	0.021322176575849987	0.004744150326392587	0.00484923293951684	0.004487290834346592	0.006334371754932503	0.08546433378196501	0.005175481158013909	0.011364565448450659	0.013168086754453912
