group-id	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR
subject_id	S210421121685	S210421121686	S210421121687	S210421121691	S210421121692	S210421121693	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae	0.000821914723532657	0.0	0.0	0.02560311679082222	0.19048299769490556	0.2937051090933731	0.048484848484848485	0.00325155187703222	0.0010281315172462793	0.020516754250171812	0.01032066486809466	0.014994036462770489	0.001612830966354554	0.0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae	0.5348413029037233	0.5669804230342508	0.16651244862387296	0.237039810149875	0.015635330486214107	0.01161234584632064	0.008838383838383838	0.14661543009163464	0.39789107657072165	0.4914059408689857	0.0787267558710098	0.46237291986141876	0.08256798530531786	0.06797477224947442
Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Peptostreptococcaceae	0.010347118231870026	0.0019147489352564333	0.0	0.009803423901318544	0.20088272608687882	0.23571960970321182	0.050883838383838385	0.0	0.005052890261588421	0.007542362880328768	0.025294682141628493	0.007042653490089169	0.0051072980601227546	0.005255781359495445
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae	0.005787180382134051	0.10826384166636842	0.011985969744571884	0.005475957816723562	0.0003037721351607312	0.00011010977097167638	0.0006313131313131314	0.04640851315400532	0.3015392716983813	0.027003949935093335	0.006717485379058104	0.013460555460896235	0.01962277675731374	0.017168885774351786
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae	0.009902383552698246	0.00155685193801224	0.00017215037335112222	0.014898666226728766	0.09316870074870896	0.11010977097167637	0.10347222222222222	0.0	0.006862568907798336	0.07005754826348636	0.011135454199786345	0.04958255239393423	0.029613368576676673	0.07147862648913805
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae	0.007909521825776597	0.00046526609641745105	0.016698586215058854	0.08713308544524677	0.005342815789003448	0.006149207209649004	0.0	0.0	0.0	0.0	0.0010682793459957632	0.0009087294825921509	0.05550826575870257	0.14260686755430974
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014|Clostridia_UCG-014	0.07058896382449306	0.05212769764861673	0.07127025456736459	0.09248213809819922	0.22027053588978432	0.05383520802276731	0.16622474747474747	0.08040201005025126	8.358792823140482e-06	0.17575475692974113	0.3352224374875518	0.12852842619412733	0.09744187088392098	0.07463209530483532
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae	0.042756454282400894	0.05053505601088007	0.26605840201415937	0.0012944326704653613	0.02580276253953505	0.0596794958666486	0.1307449494949495	0.38811705586757317	0.009140339952104117	0.01476886979097971	0.005450035307537707	0.013687737831544273	0.004704090318534116	0.0
Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae	0.12857335870385175	0.07886260334275795	0.21051838781175355	0.3564321882257389	0.09942283294319461	0.10624745900528527	0.05940656565656566	0.14247709133904818	0.10849295144795189	0.03133221800309608	0.28778359195350267	0.03771227352757426	0.28927915415975985	0.2501751927119832
Bacteria|Firmicutes|Clostridia|Oscillospirales|[Eubacterium]_coprostanoligenes_group	0.01862819054910659	0.03174546365555993	0.1060015923909535	0.02638358354801457	0.0487286242696067	0.03909743867732755	0.007386363636363636	0.09074785693171741	0.050010657460849504	0.03857955058207743	0.02547574643755998	0.006701879934117113	0.013619461493660678	0.0
Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae	0.03018003310177106	0.027235961490283095	0.04650211960147189	0.05743093186461757	0.027804084841770455	0.032719541943352755	0.035416666666666666	0.04522613065326633	0.009750531828193373	0.04656272344206646	0.03528943127704648	0.04884420968932811	0.20039424756955335	0.25543097407147863
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae	0.0009457648873526464	0.0027737017286424965	0.0	0.007087653396616708	0.0	0.0001524596828838596	0.0	0.0	0.027479531406074335	0.0004928741504862794	0.00021727715511778232	0.0	0.005420904081358362	0.0
Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae	0.07908395915196414	0.0365054937189077	0.0458135181080674	0.039264457670782626	0.026803423690652754	0.007631454126575417	0.02077020202020202	0.008572273130357671	0.004446877781910737	0.018864584562626255	0.06733781165691938	0.03407735559720566	0.006720129026477308	0.0
Bacteria|Firmicutes|Clostridia|Christensenellales|Christensenellaceae	0.003996982559645113	0.0019326437851186428	0.001334165393471197	0.004784324674170992	0.0007862337615924807	0.000525138907711072	0.17758838383838385	0.0	0.0	0.002887826008482989	0.013851418638758623	0.021298347248253535	0.0015680301061780386	0.0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae	0.0017845682695880292	0.00025052789807093517	0.002582255600266833	0.0020177921039607103	0.007647910226399586	0.007004675430275105	0.027904040404040403	0.011232633757020397	0.000936184796191734	0.0016903500794846341	0.005757844610621231	0.021411938433577554	0.012320236548541731	0.030133146461107218
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae	0.00899039598275105	0.014727461436598546	0.005186029997202557	0.0032931889998604044	0.00025016528777942567	0.0007199485025071148	0.0	0.0	0.040795088373337125	0.00031238502495609257	0.0020822394032120805	0.031123984778781165	0.004166479996415931	0.002803083391730904
