sample-id	sample-name	group-id	group-desc
210421121673	#1 N9.01	NC	Ninhada controle
210421121674	#2 N11.01	NC	Ninhada controle
210421121675	#3 N9.05	NC	Ninhada controle
210421121676	#4 N11.02	NC	Ninhada controle
210421121677	#5 N9.03	NR	Ninhada reduzida
210421121678	#6 N10.03	NR	Ninhada reduzida
210421121679	#7 N10.04	NR	Ninhada reduzida
210421121680	#8 N10.07	NR	Ninhada reduzida
210421121681	#9 N10.08	NR	Ninhada reduzida
