	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121694	S210421121695	S210421121696	S210421121697	S210421121703	S210421121704	S210421121705	S210421121706
EC:1.1.1.1	65463.11686083204	78089.10785405671	142772.12631425116	94967.87796579844	30844.421228324838	71749.68504556743	40686.5684563444	123334.44214232973	40268.62796904955	23394.425470261882	19633.434998456287	5733.191082043707	166061.07246627304	156521.01229160087
EC:1.1.1.10	0.05262128122786978	0.03779670030804497	0.03195436315931094	0.26730253459922465	0.008163015013222929	0.5974729700480806	4.4923035987465765	0.005361953848465632	0.028397830519330317	0.002125816092487855	1.783807558063249	0.0	5.983836424914757e-07	0.4508218414837293
EC:1.1.1.100	134902.73219539155	148193.67249346513	227101.0604464375	165988.1842172817	50534.5282851013	73267.36494998763	68315.27378475445	189496.4108503171	75668.56576394275	36904.97217501059	26802.04220257193	4867.053965544588	314730.97076475853	254531.25828023598
EC:1.1.1.101	3.512169703391035e-29	1.557750805350542e-28	3.7458969801467076e-29	1.0182621961138254e-28	9.369959577080066e-30	1.7481548190913075e-28	4.7212986345319925e-28	1.0159242647623486e-28	9.528527213476881e-29	1.3570975903661965e-28	1.5226712095118794e-28	0.0	8.662517194757095e-29	2.9332959129872596e-28
EC:1.1.1.102	0.21729074939896692	0.7320748777550619	0.10171646469311205	0.42531825819170493	0.025443282811732706	0.6514419244006118	7.553343491925519	0.7858249949869327	0.58905893853471	0.5676280639628651	1.8938834236393387	0.0	25.32754828157493	2.4218705656404724
EC:1.1.1.103	11249.623367565386	6320.990916552346	7762.055723260108	13241.800459455524	3357.1830111110753	3072.140875341771	4904.126005562219	10491.566234100646	6594.171562804153	3401.446801752607	1670.3366455751425	209.616858631936	22828.958745362215	11470.006676419525
EC:1.1.1.105	0.0	7.744959133899923e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.107	57.328724711722565	347.44985670168194	303.63556704932824	266.64171806604685	73.00383533016529	192.48007979970225	729.5323677740851	262.1419809514265	292.9162053945864	115.13017649147403	115.09392263345289	32.19306249962734	86.16773745106053	1876.71910969515
EC:1.1.1.108	1216.2138710395677	647.666845633615	312.58509295979843	3888.2270947222023	660.741753732088	419.404266778588	343.3381146822707	1897.4192556306878	620.4556582660507	207.58187335602523	183.75306900857385	21.97862772332379	438.35244200624817	1297.8560377863512
EC:1.1.1.11	4.000289037179707	13.33131154549295	14.250343855370348	3.500961467976683	7.827929214871768e-05	0.0013654254456940574	383.25373329932455	61.000966468086546	171.50092683422326	76.00122997839615	228.0014162065384	2.5554609536353353e-05	24.87105073264219	167.2524831578708
