group-id	NC	NC	NC	NC	NR	NR	NR	NR	NR
subject_id	S210421121673	S210421121674	S210421121675	S210421121676	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae	0.41335937982580767	0.2820498655303078	0.47784731129111396	0.5596255298649181	0.4977302536324459	0.43737777777777775	0.3960372456563643	0.5283877761446153	0.4958842570286575
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae	0.11399329791833962	0.38814155603154954	0.06684973013919136	0.07494779311664879	0.07038342957398606	0.23985185185185184	0.3409406689573951	0.03753592348024483	0.2908028582867923
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae	0.0956706714435728	0.0046581004492367495	0.21666336693322774	0.20228097303737605	0.21362869845163268	0.10791111111111111	0.08120470555023797	0.031053243533773554	0.09438725307238686
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae	0.03004354808820804	0.0034502587694077054	0.15214640486868494	0.0031162831709955546	0.1358781746640094	0.0	0.0	0.0002687405392361187	4.071633607263794e-05
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae	0.006613286799678794	0.07381394215919906	0.02286715273174889	0.008148790155211978	0.025205682456947213	0.0020148148148148148	0.027585781016360035	0.0016563192418226093	0.002327617212152469
Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Peptostreptococcaceae	0.0024901167459386	0.10483864892487024	0.0012739840407674894	0.01295117823032107	0.0011114517859880423	0.0017481481481481482	0.00315820582150844	0.05317223526314635	0.004438080631917536
Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae	0.18995923157699673	0.014642255374393254	0.02208812870682012	0.01802884873875482	0.015892483008840514	0.016637037037037037	0.07929478499058272	0.13958602987956037	0.018030550824166502
Bacteria|Proteobacteria|Gammaproteobacteria|Burkholderiales|Sutterellaceae	0.0006177033788374823	0.037330092333344216	0.004966816158938117	0.006428274946932859	0.005697787316674332	0.0009037037037037037	0.003489023470409464	0.0002577715376346445	0.001302922754324414
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae	0.00969794304774847	0.045262674176545774	0.0072522402320716875	0.023396856188585672	0.008465770691740338	0.12222222222222222	0.01824790151338047	0.08729131474453196	0.03759475030706903
