group-id	NC	NC	NC	NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC
subject_id	S210421121673	S210421121674	S210421121675	S210421121676	S210421121688	S210421121689	S210421121690	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales	0.6531844673829085	0.748130855424067	0.7843362365879134	0.8695510763413069	0.39141018953225526	0.03475881099849138	0.04575687831246437	0.00197320594038841	0.21255678856036345	0.03294212869283691	0.02082016354330227	0.5626598465473146
Bacteria|Firmicutes|Clostridia|Clostridiales	0.0	2.504250269206904e-05	0.0	0.0	0.06037824623850584	0.4336777627000432	0.23542515678118203	0.4023263059507737	0.018768153720116185	0.0169971671388102	0.6599645180366647	0.015089514066496165
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales	0.030358354984434614	0.0038231554109892066	0.15257192676547515	0.0031418584884386545	0.0912884715701617	0.003494833559499352	0.011001076880846302	0.0	0.0008937216057198183	0.02120598947794415	0.024368359876832724	0.009974424552429667
Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales	0.003144286059811655	0.11616938748820915	0.0017307310504372146	0.013692778712553557	0.01685640348993014	0.15136950473432442	0.21251504465888216	0.16813791670993872	0.01698071050867655	0.019020639417239985	0.05624095107975285	0.008184143222506393
Bacteria|Firmicutes|Clostridia|Oscillospirales	0.09477720821727563	0.003725767900520049	0.011191485321156353	0.02531483633714375	0.07704031012509334	0.11986293581180965	0.14650858337380435	0.028974971440440336	0.04848439711030014	0.2751922298664508	0.04257835600236547	0.16751918158567775
Bacteria|Firmicutes|Bacilli|Erysipelotrichales	0.000663186886064493	0.00712876576634232	0.0006301414797103076	0.004421152144876754	0.04557775118393732	0.08906139838828284	0.07330180113600372	0.13241250389448542	0.07291278766664185	0.03901254552812627	0.08925549052794714	0.007161125319693095
Bacteria|Firmicutes|Clostridia|Lachnospirales	0.19086908690869087	0.016280409250143995	0.021437758422747245	0.01831124564172839	0.02345372160340401	0.05213442600580703	0.07127473130767119	0.05213417800394641	0.10039472704252625	0.13557264265479563	0.01029792614041885	0.0887468030690537
Bacteria|Proteobacteria|Gammaproteobacteria|Burkholderiales	0.0007334066740007334	0.04179037199246499	0.0051145044757309206	0.006574268417492064	0.0027002976464451196	0.005177811976438302	0.002723875081821829	0.006335029598089106	0.08497802934385938	0.005180089032780251	0.011337914720936398	0.013043478260869565
Bacteria|Firmicutes|Bacilli|Lactobacillales	0.010216979144722983	0.05163485805074724	0.008260895836750196	0.023664764349771897	0.0006648460114353514	0.018944878666353318	0.048839713676386745	0.03271367743275522	0.016384896104863336	0.0033184945366248482	0.004812496176512571	0.0
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014	0.005742418213452551	3.895500418766295e-05	0.0	0.009690107373935367	0.23770802008857794	0.05709238945030286	0.09892523068476952	0.06999688441167307	0.28025620019363967	0.268069607446378	0.03641999225106548	0.061636828644501276
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0.0025123079683854912	0.001249342634304333	0.007000612877329581	0.00027320508595118735	0.003539026460871255	0.005534118217862314	0.007780991997297241	0.015577941634645343	0.009011692857674834	0.02784297855119385	0.006647770142131772	0.018414322250639385
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	0.0	0.0007679700825567839	0.0	0.012027528664851081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
