group-id	NC	NC	NC	NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC
subject_id	S210421121673	S210421121674	S210421121675	S210421121676	S210421121688	S210421121689	S210421121690	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_NK3B31_group|uncultured_bacterium	0.030229618706551505	0.0005676300610202316	0.13935621984168775	0.19031769848566324	0.006904170118751726	0.0010764997081321214	0.00026394138389746407	0.0	0.001415059209056379	0.002509105625252934	0.00030587899426986684	0.0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculaceae|uncultured_bacterium	0.37553152478368407	0.24477376881318014	0.35621984168774334	0.4680545195927076	0.36357871265355385	0.03095315710072853	0.0454929369285669	0.00197320594038841	0.14016533849705817	0.030433023067583973	0.01537551744529864	0.5225063938618926
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium_sensu_stricto_1	0.0	2.504250269206904e-05	0.0	0.0	0.06037824623850584	0.4336777627000432	0.23542515678118203	0.4023263059507737	0.018768153720116185	0.0169971671388102	0.6599645180366647	0.015089514066496165
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_fragilis	0.022056815610639078	0.2090214224698029	0.004113183768246049	0.017398393727558154	0.000634160810907566	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia	0.030358354984434614	0.0038231554109892066	0.15257192676547515	0.0031418584884386545	0.0912884715701617	0.003494833559499352	0.011001076880846302	0.0	0.0008937216057198183	0.02120598947794415	0.024368359876832724	0.009974424552429667
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_caecimuris	0.014613518089397592	0.10631098892843131	0.0	0.013018439175007373	0.0	0.00018952459650213403	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Peptostreptococcaceae|Romboutsia	0.0025162090677152823	0.09854781309388991	0.0012775471095496647	0.013057468473000398	0.014892550656151872	0.15102836046062057	0.21188158533752824	0.16813791670993872	0.01698071050867655	0.017725617159044922	0.05603703175023961	0.008184143222506393
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	0.06769187557053578	0.005987940643703619	0.06083886505477051	0.03624520806952419	0.0019843096341301257	0.0002577534512429023	0.0	0.0	0.03224845460639011	0.0	0.0001835273965619201	0.0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|Parabacteroides_goldsteinii	0.006682583151932215	0.08179159629259661	0.022931107408910027	0.008215667227532135	0.0006443892110834944	0.0002804964028231584	0.0	0.0	0.001117152007149773	0.0	0.0	0.0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_UCG-001|uncultured_bacterium	0.06644352378500261	0.004593907993845109	0.07791310953240049	0.013623393293899288	0.002311618439759837	0.000439697063884951	0.0	0.0	0.008713785655768228	0.0	0.0005913660555884093	0.0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculaceae	0.025037255498599507	0.06601760209689223	0.1046207497820401	0.06602022584953772	0.009809035768715415	0.001319091191654853	0.0	0.0	0.026513740969687942	0.0	0.004159954322070189	0.040153452685421996
Bacteria|Firmicutes|Clostridia|Oscillospirales|[Eubacterium]_coprostanoligenes_group|[Eubacterium]_coprostanoligenes_group|Clostridiales_bacterium	0.0	0.000498067553542262	0.0	0.00385305902964492	0.0	0.10923439643996997	0.1307565615828037	0.0	0.0	0.0	0.0	0.0
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Turicibacter|uncultured_bacterium	0.0	0.0009766576049906924	0.0	0.0010169300421516419	0.016641607086235643	0.081882206672782	0.06483456154057307	0.10977256205213418	0.020779027332985776	0.005341966815054634	0.0836273170333816	0.005370843989769821
Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Lachnospiraceae_NK4A136_group	0.09528825222947827	0.0	0.0004272877156939757	0.003315322035074329	0.0042550144731862485	0.003229499124396364	0.00594395996537089	0.0	0.004245177627169137	0.012302711452853096	0.0	0.0
Bacteria|Proteobacteria|Gammaproteobacteria|Burkholderiales|Sutterellaceae|Parasutterella	0.0006241758927665816	0.04136464944669981	0.004980707312230787	0.006481031761175389	0.0010637536182965621	0.0	0.0	0.0	0.002830118418112758	0.0	0.0	0.0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|uncultured_bacterium	0.02453401368505645	0.025665782759071647	0.0	0.02142925289250464	0.0026593840457414058	9.85527901811097e-05	0.0	0.0	0.0	0.0	0.00020391932951324457	0.0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	0.008324945969774282	0.029711538193990354	0.005226721451569743	0.015878419400163057	0.0006648460114353514	0.018300495038246063	0.048839713676386745	0.0274171772769758	0.011320473672451032	0.0017806556050182112	0.0026101674177695304	0.0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus_intestinalis	0.001474615546661049	0.019062909549262777	0.0020458017902923683	0.006945046748425819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
