group-id	NR	NR	NR	NR	NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR
subject_id	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121685	S210421121686	S210421121687	S210421121703	S210421121704	S210421121705	S210421121706
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculaceae|uncultured_bacterium	0.37631062505587315	0.25344058782572626	0.33889466358943643	0.4708707523273792	0.39755887868182155	0.41755977844823705	0.47165545087483174	0.15593606814808442	0.00884117461319861	0.13690124186871674	0.2783508170685836	0.41417205853766903
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_fragilis	0.005027521529796898	0.22947128275780335	0.30614330261975653	0.030730177527769555	0.28161577048314707	0.00042216418246498853	0.0006998654104979811	0.0	0.0	0.0	0.00034270907343168805	0.0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_NK3B31_group|uncultured_bacterium	0.12846360474570787	0.04540538939010118	0.009174433149521679	0.006047348048729673	0.02869637622783799	0.0030058089791507184	0.09247196052041275	0.011422548239292705	0.0	0.046422235363690126	0.00017135453671584402	0.004807558801477326
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_UCG-001|uncultured_bacterium	0.08510176367668908	0.06248611172836763	0.07191557583552087	0.024995339758983298	0.06544181858799478	0.0027806547485027242	0.01604306864064603	0.0005592961473100006	0.0006315124723713293	0.0	0.040314289296610524	0.0009337424675793508
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia	0.1358367353888986	0.0	0.0	0.0002686491880215358	4.0617659204300054e-05	0.007908542351510785	0.0004665769403319874	0.016692838858175404	0.0	0.0	0.0	0.0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_UCG-003|uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10587202741672587	0.019285773791341533
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus_faecis	0.0	0.10531383790350059	0.006769612938461267	0.047348048729673124	0.02822927314698854	0.007131760255775206	0.022252131000448632	0.0	0.0	0.024837374334713187	0.0002173277051030217	0.00859112493404793
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculaceae	0.1044541031131469	0.17575515162289082	0.04334842585578126	0.03447481825060035	0.08077498493761805	0.10863691628765705	0.0920233288470166	0.007206315744186547	0.0	0.0059136605558840925	0.11776236051322773	0.06838882563661104
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	0.006198197584576024	0.01488822718990267	0.0065405824421697996	0.017763742228362776	0.006404050934544642	0.032512270905570316	0.028443248093315388	0.26596682943618644	0.11278812756551942	0.3633944411590775	0.008517574288460734	0.006178667629335481
