group-id	NR	NR	NR	NR	NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR
subject_id	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121685	S210421121686	S210421121687	S210421121703	S210421121704	S210421121705	S210421121706
Bacteria|Bacteroidota	0.8068469649691155	0.7900685895441684	0.8577368263420306	0.598928692829808	0.8851061813307699	0.5558832800468321	0.6990040376850606	0.18439563749005097	0.00947268708556994	0.19308101714961562	0.769009905128098	0.5190636194496127
Bacteria|Verrucomicrobiota	0.1358367353888986	0.0	0.0	0.0002686491880215358	4.0617659204300054e-05	0.007908542351510785	0.0004665769403319874	0.016692838858175404	0.0	0.0	0.0	0.0
Bacteria|Firmicutes	0.043204331927103067	0.2054871635334726	0.13748876869681648	0.38619143173569304	0.10903133652407612	0.42222047102265053	0.2900852400179453	0.7869081678748897	0.8892327123460688	0.7927261975162626	0.21594851005140636	0.443510316292244
Bacteria|Proteobacteria	0.014056626665020625	0.0026369198405996773	0.00466869857824915	0.0041942169150301	0.003026015610720354	0.005488134372044851	0.0024764468371467024	0.004216232495106159	0.058288601199873696	0.011235955056179775	0.009909307476908932	0.005869734247868707
Bacteria|Patescibacteria	0.0	0.0	0.0	0.0009484961128107284	0.0	0.00033210249020579097	0.0	0.002151139028115387	0.015787811809283233	0.0029568302779420462	0.0	0.022791646996750993
Bacteria|Actinobacteriota	5.534104986228593e-05	0.0009925484793268447	0.00010570638290375434	0.0091779334846541	0.0023558242338494032	0.0036981582383932995	0.0015612382234185733	0.00544238174113193	0.026144616356173035	0.0	0.0005934718100890207	0.004137624614701064
Bacteria|Desulfobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003723826639361391	0.003405209519313543
Bacteria|Cyanobacteria	0.0	0.0008147786024324845	0.0	0.00016447909470706273	0.0004400246413799173	0.00440176520916828	0.006406460296096904	0.0	0.00107357120303126	0.0	0.0	0.00011107717086445809
Bacteria|Campilobacterota	0.0	0.0	0.0	3.837845543164797e-05	0.0	0.0	0.0	0.00019360251253038483	0.0	0.0	0.0006394449784761985	0.0004581933298158896
Archaea|Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.358757888577757e-05	0.0004616644914054039
Bacteria|Elusimicrobiota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.194633677435533e-05	0.00019091388742328733
Bacteria|Deferribacterota	0.0	0.0	0.0	8.772218384376679e-05	0.0	6.754626919439816e-05	0.0	0.0	0.0	0.0	0.0	0.0
